咪咕央卫,#genre#
NBA经典赛事 NBA精彩重播：魔术vs湖人 杨健 曾令旭 佳依 18:00,http://45.192.97.170:8880/play/171.m3u8
CPB中国棒球城市联赛 福州海侠VS长沙旺旺 清流播出 18:00,http://45.192.97.170:8880/play/172.m3u8
CPB中国棒球城市联赛 北京正大龙VS厦门海豚 清流播出 18:30,http://45.192.97.170:8880/play/173.m3u8
WTT 倪夏莲冲开门红、方博男双迎首秀 徐铭辰 19:00,http://45.192.97.170:8880/play/174.m3u8
WTT 倪夏莲冲开门红、方博男双迎首秀 1号桌 19:00,http://45.192.97.170:8880/play/175.m3u8
WTT 倪夏莲冲开门红、方博男双迎首秀 2号桌 19:00,http://45.192.97.170:8880/play/176.m3u8
WTT 倪夏莲冲开门红、方博男双迎首秀 3号桌 19:00,http://45.192.97.170:8880/play/177.m3u8
WTT 倪夏莲冲开门红、方博男双迎首秀 4号桌 19:00,http://45.192.97.170:8880/play/178.m3u8
中国网球公开赛 2026中网球员阵容全解析 球员阵容全解析 19:00,http://45.192.97.170:8880/play/179.m3u8
中国篮协“未来杯”国际篮球挑战赛 CIA Bella Vista预科学院VS中国U18男篮 赛场原声 19:20,http://45.192.97.170:8880/play/180.m3u8
中国篮协“未来杯”国际篮球挑战赛 CIA Bella Vista预科学院VS中国U18男篮 清流播出 19:20,http://45.192.97.170:8880/play/181.m3u8
足协杯 云南玉昆VS重庆铜梁龙 孙雨轩 19:45,http://45.192.97.170:8880/play/182.m3u8
足协杯 云南玉昆VS重庆铜梁龙 赛场原声 19:45,http://45.192.97.170:8880/play/183.m3u8
足协杯 云南玉昆VS重庆铜梁龙 智能解说 19:55,http://45.192.97.170:8880/play/184.m3u8
斯诺克 白雨露、王信伯登场 1号桌 20:00,http://45.192.97.170:8880/play/185.m3u8
斯诺克 白雨露、王信伯登场 2号桌 20:00,http://45.192.97.170:8880/play/186.m3u8
斯诺克 白雨露、王信伯登场 3号桌 20:00,http://45.192.97.170:8880/play/187.m3u8
斯诺克 白雨露、王信伯登场 4号桌 20:00,http://45.192.97.170:8880/play/188.m3u8
美国网球公开赛 《早安美网》第三期 《早安美网》 20:00,http://45.192.97.170:8880/play/189.m3u8
意大利杯 萨索洛VS弗罗西诺内 涂远 20:45,http://45.192.97.170:8880/play/190.m3u8
意大利杯 萨索洛VS弗罗西诺内 赛场原声 20:45,http://45.192.97.170:8880/play/191.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 阿瑟・阿什球场 23:00,http://45.192.97.170:8880/play/192.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 阿姆斯特朗球场 23:00,http://45.192.97.170:8880/play/193.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 大看台球场 23:00,http://45.192.97.170:8880/play/194.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 17号球场 23:00,http://45.192.97.170:8880/play/195.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 5号球场 23:00,http://45.192.97.170:8880/play/196.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 7号球场 23:00,http://45.192.97.170:8880/play/197.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 10号球场 23:00,http://45.192.97.170:8880/play/198.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 11号球场 23:00,http://45.192.97.170:8880/play/199.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 12号球场 23:00,http://45.192.97.170:8880/play/200.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 13号球场 23:00,http://45.192.97.170:8880/play/201.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 国际信号 23:00,http://45.192.97.170:8880/play/202.m3u8
美国网球公开赛 萨巴伦卡出战！阿卡压场亮相 英文解说 23:00,http://45.192.97.170:8880/play/203.m3u8
体育0903,#genre#
意大利杯 乌迪内斯VS威尼斯 刘腾 23:45,http://45.192.97.170:8880/play/204.m3u8
意大利杯 乌迪内斯VS威尼斯 赛场原声 23:45,http://45.192.97.170:8880/play/205.m3u8
斯诺克 32进16 1号桌 02:00,http://45.192.97.170:8880/play/206.m3u8
