央视频道,#genre#
深圳卫视,http://45.192.97.170:8880/play/536.m3u8
天津卫视,http://45.192.97.170:8880/play/537.m3u8
安徽卫视,http://45.192.97.170:8880/play/538.m3u8
山东卫视,http://45.192.97.170:8880/play/539.m3u8
辽宁卫视,http://45.192.97.170:8880/play/540.m3u8
河北卫视,http://45.192.97.170:8880/play/541.m3u8
河南卫视,http://45.192.97.170:8880/play/542.m3u8
江西卫视,http://45.192.97.170:8880/play/543.m3u8
四川卫视,http://45.192.97.170:8880/play/544.m3u8
重庆卫视,http://45.192.97.170:8880/play/545.m3u8
贵州卫视,http://45.192.97.170:8880/play/546.m3u8
湖北卫视,http://45.192.97.170:8880/play/547.m3u8
广西卫视,http://45.192.97.170:8880/play/548.m3u8
东南卫视,http://45.192.97.170:8880/play/549.m3u8
海南卫视,http://45.192.97.170:8880/play/550.m3u8
青海卫视,http://45.192.97.170:8880/play/551.m3u8
吉林卫视,http://45.192.97.170:8880/play/552.m3u8
黑龙江视,http://45.192.97.170:8880/play/553.m3u8

央卫代理,#genre#
CCTV1,http://45.192.97.170:8880/play/554.m3u8
CCTV2,http://45.192.97.170:8880/play/555.m3u8
CCTV3,http://45.192.97.170:8880/play/556.m3u8
CCTV4,http://45.192.97.170:8880/play/557.m3u8
CCTV5,http://45.192.97.170:8880/play/558.m3u8
CCTV5+,http://45.192.97.170:8880/play/559.m3u8
CCTV6,http://45.192.97.170:8880/play/560.m3u8
CCTV7,http://45.192.97.170:8880/play/561.m3u8
CCTV8,http://45.192.97.170:8880/play/562.m3u8
CCTV9,http://45.192.97.170:8880/play/563.m3u8
CCTV10,http://45.192.97.170:8880/play/564.m3u8
CCTV11,http://45.192.97.170:8880/play/565.m3u8
CCTV12,http://45.192.97.170:8880/play/566.m3u8
CCTV13,http://45.192.97.170:8880/play/567.m3u8
CCTV14,http://45.192.97.170:8880/play/568.m3u8
CCTV15,http://45.192.97.170:8880/play/569.m3u8
CCTV16,http://45.192.97.170:8880/play/570.m3u8
CCTV17,http://45.192.97.170:8880/play/571.m3u8
广东珠江,http://45.192.97.170:8880/play/572.m3u8
广东体育,http://45.192.97.170:8880/play/573.m3u8
劲爆体育,http://45.192.97.170:8880/play/574.m3u8
国际美洲,http://45.192.97.170:8880/play/575.m3u8
国际欧洲,http://45.192.97.170:8880/play/576.m3u8
北京卫视,http://45.192.97.170:8880/play/577.m3u8
东方卫视,http://45.192.97.170:8880/play/578.m3u8
浙江卫视,http://45.192.97.170:8880/play/579.m3u8
江苏卫视,http://45.192.97.170:8880/play/580.m3u8
湖南卫视,http://45.192.97.170:8880/play/581.m3u8
广东卫视,http://45.192.97.170:8880/play/582.m3u8
深圳卫视,http://45.192.97.170:8880/play/583.m3u8
安徽卫视,http://45.192.97.170:8880/play/584.m3u8
山东卫视,http://45.192.97.170:8880/play/585.m3u8
四川卫视,http://45.192.97.170:8880/play/586.m3u8
重庆卫视,http://45.192.97.170:8880/play/587.m3u8
贵州卫视,http://45.192.97.170:8880/play/588.m3u8
湖北卫视,http://45.192.97.170:8880/play/589.m3u8
海南卫视,http://45.192.97.170:8880/play/590.m3u8
吉林卫视,http://45.192.97.170:8880/play/591.m3u8
兵团卫视,http://45.192.97.170:8880/play/592.m3u8
西藏卫视,http://45.192.97.170:8880/play/593.m3u8
内蒙古视,http://45.192.97.170:8880/play/594.m3u8
黑龙江视,http://45.192.97.170:8880/play/595.m3u8



香港港台,#genre#
翡翠台,http://45.192.97.170:8880/play/943.m3u8
TVB PLUS,http://45.192.97.170:8880/play/944.m3u8
明珠台,http://45.192.97.170:8880/play/945.m3u8
TVB星河,http://45.192.97.170:8880/play/948.m3u8
千禧经典台,http://45.192.97.170:8880/play/950.m3u8
天映频道,http://45.192.97.170:8880/play/951.m3u8
天映经典频道,http://45.192.97.170:8880/play/952.m3u8
ASTROAOD,http://45.192.97.170:8880/play/953.m3u8
ASTROAEC,http://45.192.97.170:8880/play/954.m3u8
ASTRO欢喜台,http://45.192.97.170:8880/play/955.m3u8
IQIYI,http://45.192.97.170:8880/play/956.m3u8

凤凰中文,http://45.192.97.170:8880/play/970.m3u8
凤凰资讯,http://45.192.97.170:8880/play/971.m3u8
凤凰香港,http://45.192.97.170:8880/play/972.m3u8
凤凰香港,http://45.192.97.170:8880/play/973.m3u8
无线新闻台,http://45.192.97.170:8880/play/974.m3u8
翡翠台,http://45.192.97.170:8880/play/975.m3u8
华丽翡翠台,http://45.192.97.170:8880/play/976.m3u8
TVB Plus,http://45.192.97.170:8880/play/977.m3u8
澳视澳门,http://45.192.97.170:8880/play/978.m3u8
TVB星河,http://45.192.97.170:8880/play/980.m3u8
广东珠江,http://45.192.97.170:8880/play/981.m3u8
广东体育,http://45.192.97.170:8880/play/982.m3u8

澳视澳门,http://45.192.97.170:8880/play/983.m3u8
澳视卫星,http://45.192.97.170:8880/play/984.m3u8
澳门体育,http://45.192.97.170:8880/play/985.m3u8
澳门综艺,http://45.192.97.170:8880/play/986.m3u8
澳门莲花,http://45.192.97.170:8880/play/987.m3u8
华丽翡翠台,http://45.192.97.170:8880/play/988.m3u8
TVB1,http://45.192.97.170:8880/play/989.m3u8
TVBJ,http://45.192.97.170:8880/play/990.m3u8
TVB翡翠剧集台,http://45.192.97.170:8880/play/991.m3u8
TVB亚洲武侠,http://45.192.97.170:8880/play/992.m3u8
娱乐新闻台,http://45.192.97.170:8880/play/993.m3u8
TVB星河,http://45.192.97.170:8880/play/994.m3u8

天映经典,http://45.192.97.170:8880/play/996.m3u8
