

央视,#genre#
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
明珠台,https://cdn6.163189.xyz/163189/mzt
翡翠台北美版(TVB J1),https://6.cdn.loc.cc/163189.php?id=j1
TVB J1,http://s2.an94tv.cfd/aktv/CH-17/AKTV.m3u8
TVB Plus,https://cdn6.163189.xyz/163189/tvbp
无线新闻,https://cdn6.163189.xyz/163189/wxxw
无线新闻,https://smt.1678520.xyz/smt3.2.3.php?id=inews_twn
VIUTV,https://smt.1678520.xyz/smt3.2.3.php?id=viu1_twn
VIUTV,https://cdn.163189.xyz/163189/viu
HOY TV,https://cdn6.163189.xyz/163189/hoy
HOY TV,https://cdn.163189.xyz/163189/hoy
HOY剧集台,https://cdn.163189.xyz/163189/hoyjj
凤凰中文,https://cdn6.163189.xyz/163189/fhzw
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港,https://cdn6.163189.xyz/163189/fhhk
重温经典,https://cdn6.163189.xyz/163189/cwjd
广东珠江,https://cdn2.163189.xyz/163189/gdzj
广东体育,https://cdn2.163189.xyz/163189/gdty
澳视澳门,https://cdn6.163189.xyz/163189/asam
澳视卫星,https://cdn6.163189.xyz/163189/as
澳门体育,https://cdn6.163189.xyz/163189/amty
澳门综艺,https://cdn6.163189.xyz/163189/amzy
澳门莲花,https://cdn6.163189.xyz/163189/amlh
RTHK31,https://cdn.163189.xyz/163189/rthk31
RTHK32,https://cdn.163189.xyz/163189/rthk32
CCTV1港澳版,https://cdn6.163189.xyz/163189/cctv1
八度空间,https://cdn6.163189.xyz/163189/8tv
CH5,https://cdn6.163189.xyz/163189/ch5
CH8,https://cdn6.163189.xyz/163189/ch8
CHU,https://cdn6.163189.xyz/163189/chu
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华经典,https://cdn8.163189.xyz/163189/lhjd
龙华卡通,https://cdn8.163189.xyz/163189/lhkt
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
龙华洋片,https://cdn8.163189.xyz/163189/lhyp
翡翠台,https://smt.1678520.xyz/smt3.2.3.php?id=jade_twn
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
无线新闻台,https://smt.1678520.xyz/smt3.2.3.php?id=inews_twn
TVB星河,https://cdn10.163189.xyz/163189/xinghe
千禧经典台,https://smt.1678520.xyz/smt3.2.3.php?id=Tvbclassic
Astro QJ,https://smt.1678520.xyz/smt3.2.3.php?id=Quanjia
Astro欢喜台,https://smt.1678520.xyz/smt3.2.3.php?id=Huahee
八度空间,https://smt.1678520.xyz/smt3.2.1.php?id=TV8
华丽翡翠台,https://o11.163189.xyz/stream/live/jade/
亚洲武侠,https://cdn6.163189.xyz/163189/yzwx
TVB娱乐新闻台,https://cdn6.163189.xyz/163189/ylxw
无线新闻台,https://cdn6.163189.xyz/163189/wxxwt
TVB星河,https://cdn6.163189.xyz/163189/tvbxh
NOW新闻台,https://cdn.163189.xyz/163189/now
翡翠台4K,https://cdn6.163189.xyz/163189/fct4k
翡翠台(字幕),https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台(字幕),https://mytv.cdn.loc.cc/o12.php?id=mzt
TVB1,https://mytv.cdn.loc.cc/o12.php?id=fct
CCTV13,https://cdn3.163189.xyz/163189/cctv13
海峡卫视,https://cdn3.163189.xyz/163189/hxws
TVB星河国语,https://cdn10.163189.xyz/163189/xinghe
天映频道,https://cdn10.163189.xyz/163189/typd
天映经典,https://cdn10.163189.xyz/163189/ccm

♨️电影,#genre#
周星星,https://live.ottiptv.cc/huya/11342412
