分类: 卫视频道, 名称: 三沙卫视, 有效: 5, IPv4: 49, IPv6: 0, 最小延迟: 103 ms, 最高速率: 7.52 M/s, 平均速率: 1.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 海峡卫视, 有效: 4, IPv4: 11, IPv6: 0, 最小延迟: 34 ms, 最高速率: 16.81 M/s, 平均速率: 4.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 延边卫视, 有效: 2, IPv4: 14, IPv6: 0, 最小延迟: 264 ms, 最高速率: 4.68 M/s, 平均速率: 4.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 兵团卫视, 有效: 5, IPv4: 44, IPv6: 0, 最小延迟: 263 ms, 最高速率: 0.83 M/s, 平均速率: 0.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 康巴卫视, 有效: 4, IPv4: 6, IPv6: 0, 最小延迟: 264 ms, 最高速率: 1.09 M/s, 平均速率: 0.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 大湾区卫视, 有效: 5, IPv4: 35, IPv6: 0, 最小延迟: 300 ms, 最高速率: 4.30 M/s, 平均速率: 3.34 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 凤凰卫视, 有效: 1, IPv4: 5, IPv6: 0, 最小延迟: 299 ms, 最高速率: 0.34 M/s, 平均速率: 0.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 中国天气, 有效: 2, IPv4: 21, IPv6: 0, 最小延迟: 255 ms, 最高速率: 0.78 M/s, 平均速率: 0.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 高清频道, 名称: 央视台球, 有效: 6, IPv4: 63, IPv6: 0, 最小延迟: 9 ms, 最高速率: 4.06 M/s, 平均速率: 1.56 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 高清频道, 名称: 电视指南, 有效: 4, IPv4: 7, IPv6: 0, 最小延迟: 457 ms, 最高速率: 9.20 M/s, 平均速率: 3.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
